ID,SKU,Imagem,Produto,Modelo,Categorias,Pontos,Preço,Quantidade,"Produto Destacado",Situação,Etiquetas
354,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/4999-caaa.jpeg,"CASUALL ULTRA BLACK",P.000584,,," R$ 499,00",114,Sim,Habilitado,
357,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/1911-essence-01-1.jpg,"ALL ESSENCE PRETO",P.000597,,," R$ 499,00",28,Sim,Habilitado,
360,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/NEW-CLASSIC/7470-cinza-3.png,"NEW CLASSIC  LAMINADO",P.000609,,," R$ 489,00",146,Sim,Habilitado,
358,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/NEW-CLASSIC/2438-areia-1.png,"NEW CLASSIC  AREIA",P.000610,,," R$ 489,00",34,Sim,Habilitado,
359,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/NEW-CLASSIC/8972-brisa-3.png,"NEW CLASSIC BRISA",P.000611,,," R$ 489,00",30,Sim,Habilitado,
355,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/3610-meias-brancas-alta.png,"MEIA CANO LONGO COMPRESSAO FIO EMANA - ALL IN  BRANCO",P.000618,,," R$ 129,00",0,Sim,Desabilitado,
356,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/2216-meias-preta.png,"MEIA CANO LONGO COMPRESSAO FIO EMANA - ALL IN PRETO / 3843",P.000619,,," R$ 129,00",0,Não,Desabilitado,
362,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/LANcAMENTO-2026/9226-foto-site-1.jpg,"SPORT BALANCE NEON",P.000630,,," R$ 519,00",73,Sim,Habilitado,
361,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/Tenis-Masculinos/4976-foto-site-1.png,"CLOUD CHINELO BRANCO OFF FEMININO	",P.000657,,," R$ 199,00",81,Sim,Habilitado,
365,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/LANcAMENTO-2026/1614-foto-site-8.jpg,"CLASSIC NUDE",P.000692,,," R$ 489,00",135,Sim,Habilitado,
366,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/LANcAMENTO-2026/5385-classic-cafe.jpg,"PRÉ VENDA - ALL CLASSIC CAFÉ",P.000694,,," R$ 489,00",304,Não,Habilitado,
367,,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/LANcAMENTO-2026/4062-classic-verde-militar.jpg,"PRÉ VENDA - ALL CLASSIC VERDE MILITAR",P.000758,,," R$ 489,00",321,Não,Habilitado,
